yelpingYear,user_growth,reviewYear,review_growth
2008,102.71838331160366,2008.0,213.91004361127384
2009,108.73717721966752,2009.0,54.24667191971135
2010,68.00542280969329,2010.0,86.30540282576256
2011,61.78682120784198,2011.0,66.54592422088652
2012,11.063564485504585,2012.0,24.151361936822767
2013,7.046005460437343,2013.0,33.98230706147163
2014,11.299949466538273,2014.0,36.03154717099078
2015,6.1615231405135695,2015.0,31.811515116702083
2016,-12.196893282227151,2016.0,10.236021452269872
2017,-30.601966730998985,2017.0,8.059661763814475
2018,-11.558427799555037,2018.0,10.52593711777825
2019,-21.6466518926689,2019.0,0.10172580812437548
2020,-54.66628445845875,2020.0,-38.877634247420865
2021,-14.667818902284802,2021.0,11.474147553606429
2022,-93.12831913054218,2022.0,-94.87771380873886
